"","fips","state","county","population"
"1","01","Alabama","Alabama",4921532
"2","02","Alaska","Alaska",731158
"3","04","Arizona","Arizona",7421401
"4","05","Arkansas","Arkansas",3030522
"5","06","California","California",39368078
"6","08","Colorado","Colorado",5807719
"7","09","Connecticut","Connecticut",3557006
"8","10","Delaware","Delaware",986809
"9","11","District of Columbia","District of Columbia",712816
"10","12","Florida","Florida",21733312
"11","13","Georgia","Georgia",10710017
"12","15","Hawaii","Hawaii",1407006
"13","16","Idaho","Idaho",1826913
"14","17","Illinois","Illinois",12587530
"15","18","Indiana","Indiana",6754953
"16","19","Iowa","Iowa",3163561
"17","20","Kansas","Kansas",2913805
"18","21","Kentucky","Kentucky",4477251
"19","22","Louisiana","Louisiana",4645318
"20","23","Maine","Maine",1350141
"21","24","Maryland","Maryland",6055802
"22","25","Massachusetts","Massachusetts",6893574
"23","26","Michigan","Michigan",9966555
"24","27","Minnesota","Minnesota",5657342
"25","28","Mississippi","Mississippi",2966786
"26","29","Missouri","Missouri",6151548
"27","30","Montana","Montana",1080577
"28","31","Nebraska","Nebraska",1937552
"29","32","Nevada","Nevada",3138259
"30","33","New Hampshire","New Hampshire",1366275
"31","34","New Jersey","New Jersey",8882371
"32","35","New Mexico","New Mexico",2106319
"33","36","New York","New York",19336776
"34","37","North Carolina","North Carolina",10600823
"35","38","North Dakota","North Dakota",765309
"36","39","Ohio","Ohio",11693217
"37","40","Oklahoma","Oklahoma",3980783
"38","41","Oregon","Oregon",4241507
"39","42","Pennsylvania","Pennsylvania",12783254
"40","44","Rhode Island","Rhode Island",1057125
"41","45","South Carolina","South Carolina",5218040
"42","46","South Dakota","South Dakota",892717
"43","47","Tennessee","Tennessee",6886834
"44","48","Texas","Texas",29360759
"45","49","Utah","Utah",3249879
"46","50","Vermont","Vermont",623347
"47","51","Virginia","Virginia",8590563
"48","53","Washington","Washington",7693612
"49","54","West Virginia","West Virginia",1784787
"50","55","Wisconsin","Wisconsin",5832655
"51","56","Wyoming","Wyoming",582328
